filename,directory,extension,lines_count,words_count,symbols_count,commits_count,authors_count,creation_date,creation_author,modification_date,modification_author
build,/,gradle,274,692,9426,177,5,04/05/19 23:10:36,I. Alshannikov,12/10/21 14:36:01,V. Dovidaytis
CHANGELOG,/,md,463,3172,23488,96,5,10/30/19 14:51:02,V. Dovidaytis,12/10/21 14:36:01,V. Dovidaytis
COPYRIGHT_NOTICE,/,md,11,40,330,1,1,07/30/20 00:20:29,I. Alshannikov,07/30/20 00:20:29,I. Alshannikov
future_changes,/,md,7,8,73,103,4,11/18/20 00:03:48,I. Alshannikov,12/10/21 14:36:01,V. Dovidaytis
gradlew,/,bat,89,383,2852,2,1,04/05/19 23:10:36,I. Alshannikov,10/15/20 18:25:19,I. Alshannikov
README,/,md,105,695,5053,45,6,04/05/19 23:05:01,I. Alshannikov,12/08/21 18:29:40,I. Alshannikov
RELEASE,/,md,123,577,4344,29,3,10/30/19 14:51:02,V. Dovidaytis,06/02/21 07:53:40,V. Dovidaytis
RELEASE_RC,/,md,41,149,1073,7,1,02/10/20 23:45:15,I. Alshannikov,08/13/21 20:16:03,I. Alshannikov
settings,/,gradle,57,192,1770,72,7,04/05/19 23:10:36,I. Alshannikov,09/09/21 18:37:57,I. Krukov
build,base/,gradle,73,178,2441,43,6,04/05/19 23:10:36,I. Alshannikov,11/11/21 12:08:24,I. Kupriyanov
Async,base/src/commonMain/kotlin/jetbrains/datalore/base/async/,kt,38,218,1759,3,2,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
AsyncResolver,base/src/commonMain/kotlin/jetbrains/datalore/base/async/,kt,12,43,312,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
Asyncs,base/src/commonMain/kotlin/jetbrains/datalore/base/async/,kt,229,668,8628,3,1,05/28/19 21:21:27,I. Alshannikov,02/20/20 22:32:40,I. Alshannikov
PlatformAsyncs,base/src/commonMain/kotlin/jetbrains/datalore/base/async/,kt,110,286,3525,3,2,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
ResolvableAsync,base/src/commonMain/kotlin/jetbrains/datalore/base/async/,kt,18,97,788,5,3,05/28/19 21:21:27,I. Alshannikov,10/26/21 15:03:45,I. Krukov
SimpleAsync,base/src/commonMain/kotlin/jetbrains/datalore/base/async/,kt,110,292,3665,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
ThreadSafeAsync,base/src/commonMain/kotlin/jetbrains/datalore/base/async/,kt,68,190,2134,3,2,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
ThrowableCollectionException,base/src/commonMain/kotlin/jetbrains/datalore/base/async/,kt,21,74,719,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
Composite,base/src/commonMain/kotlin/jetbrains/datalore/base/composite/,kt,16,58,479,2,1,05/28/19 21:21:27,I. Alshannikov,11/05/19 00:18:45,I. Alshannikov
Composites,base/src/commonMain/kotlin/jetbrains/datalore/base/composite/,kt,530,1661,19300,3,2,05/28/19 21:21:27,I. Alshannikov,11/12/20 10:37:10,V. Dovidaytis
