country_alpha,emancipative_mean,secular_mean,count
AND,0.6260754611553785,0.4117082470119522,1004
ARG,0.4926599488977956,0.43056197804391216,1003
ARM,0.30524842997542995,0.26762066584766586,1223
AUS,0.6320351747088186,0.39414369418282547,1813
BGD,0.30487417666666666,0.23467119,1200
BOL,0.3924340587663914,0.37147213905038756,2067
BRA,0.4642357501435956,0.34590504854368936,1762
CAN,0.6422186132404182,0.47991886460925837,4018
CHL,0.47162002719033236,0.45242491356783915,1000
CHN,0.3935451971645236,0.3992644454695222,3036
COL,0.4264555532894737,0.33768832828947365,1520
CYP,0.42240709263157894,0.3265223539553752,1000
CZE,0.4932013146443515,0.568742876884422,1200
DEU,0.6758821025641025,0.38196876938239155,1528
ECU,0.38564563803169305,0.3232197769423559,1200
EGY,0.23664975668896324,0.1741417516891892,1200
ETH,0.3258008588907015,0.18129670823145885,1230
GBR,0.6508414690026953,0.42791870540851557,2609
GRC,0.4748033372287145,0.3204813597662771,1200
GTM,0.47835921061499576,0.40459295339329515,1229
HKG,0.497174305944901,0.505500473227207,2075
IDN,0.33369675492341355,0.2508660190625,3200
IRN,0.33751712741827883,0.25968103070761017,1499
IRQ,0.26417973833333336,0.3433747848206839,1200
JOR,0.27153482543640894,0.17498893183707398,1203
JPN,0.5562809228395061,0.4390501712997746,1353
KAZ,0.3748732130885874,0.37731603481012654,1276
KEN,0.40758265582870734,0.3382831817460317,1266
KGZ,0.29474775760135136,0.3155186035058431,1200
KOR,0.4535032738955823,0.5638567445783133,1245
LBN,0.41243674166666666,0.36615621666666665,1200
LBY,0.2563222961409396,0.21785633333333335,1196
MAC,0.5013692015655578,0.5127922651663406,1023
MAR,0.386959075,0.3568557958333333,1200
MDV,0.3385785024061598,0.21769719556840075,1039
MEX,0.43597944853364,0.42635597011494253,1741
MMR,0.28962393833333333,0.313707225,1200
MNG,0.44353317643467643,0.558383778998779,1638
MYS,0.4198214729626809,0.38196763442498094,1313
NGA,0.2881190929668553,0.25710652950687146,1237
NIC,0.37958327416666665,0.35689375333333334,1200
NIR,0.6047345650224215,0.39218007399103144,447
NLD,0.6600809259445843,0.45587836529680364,2145
NZL,0.644927596562184,0.40559181460134486,1057
PAK,0.25364710237014626,0.2459030506519559,1995
PER,0.3990405702005731,0.37543644842406876,1400
PHL,0.3893894775,0.32751005,1200
PRI,0.5282100169491525,0.26242192672028597,1127
ROU,0.4294153434991974,0.31338784812150283,1257
RUS,0.399803042269188,0.44581159777158774,1810
SGP,0.4470109676133533,0.31832742210054754,2012
SRB,0.46461299702380954,0.4377076432111001,1046
SVK,0.45615396741854636,0.4582151921470342,1200
THA,0.42319449057873487,0.3974104963012777,1500
TJK,0.31104770000000004,0.39536348583333336,1200
TUN,0.3276016275976725,0.30889084717607973,1208
TUR,0.3624135835789474,0.26934337463617464,2415
TWN,0.4541584582651391,0.4472363172526574,1223
UKR,0.3996486963021243,0.47001366953797963,1289
URY,0.583342483935743,0.37571580880880884,1000
USA,0.5766221268858801,0.39806974380804955,2596
VEN,0.361797425210084,0.4187505512605042,1190
VNM,0.4071328325,0.4235033458333333,1200
ZWE,0.31426303621399176,0.23183982633744854,1215
